Name,Address,Rating [1-5],Price Level [1-4],Latitude,Longitude
Stern & Bow Restaurant,"171 Schraalenburgh Rd, Closter, NJ 07624",4.5,N/A,40.9737277,-73.9815419
MADISON CAFE & GRILL,"6 Madison Ave #1, Cresskill, NJ 07626",4.5,2,40.9416154,-73.9631796
Aurora Restaurant,"203 Old Tappan Rd, Old Tappan, NJ 07675",4.4,N/A,41.0144246,-73.9801147
The 808 Bistro,"808 Scarsdale Ave, Scarsdale, NY 10583",4.4,2,40.9844177,-73.80939359999999
La Isla del Tesoro Bar & Restaurant,"185 Main St, Ossining, NY 10562",4,N/A,41.161682,-73.862094
El Rincon de Maria,"34 N Main St, Port Chester, NY 10573",4.4,N/A,41.0013939,-73.6629049
Argana Restaurant & Bar,"325 N Main St, Port Chester, NY 10573",4.5,2,41.00588219999999,-73.6589126
Vela Kitchen,"14 Washington Ave, Pleasantville, NY 10570",4.4,N/A,41.1356657,-73.7919798
Capers Restaurant,"531 N Main St, Port Chester, NY 10573",4.5,N/A,41.0109012,-73.65578359999999
Don Lucho Restaurant,"201 Irving Ave, Port Chester, NY 10573",4.5,2,41.0031861,-73.66654079999999
Tesoro D'Italia Restaurant,"160 Marble Ave, Pleasantville, NY 10570",4.6,2,41.1280562,-73.7880402
Serafina Italian Restaurant White Plains,"199 Main St, White Plains, NY 10601",4.2,2,41.0324867,-73.7675459
El Chalan Restaurant,"45 Midland Ave, Port Chester, NY 10573",4,2,40.9947324,-73.6668238
Maya Riviera Bar & Restaurant,"518 N State Rd, Briarcliff Manor, NY 10510",4.4,2,41.16377,-73.8226923
Mohegan Diner,"1880 E Main St, Mohegan Lake, NY 10547",4,2,41.3206989,-73.8556475
Baroso,"370 Downing Dr, Yorktown Heights, NY 10598",4.2,2,41.2750879,-73.7829975
The Gramercy,"345 Kear St, Yorktown Heights, NY 10598",4.6,2,41.2705833,-73.78223559999999
Savannah & Company,"3901 Crompond Rd, Cortlandt, NY 10567",4.2,2,41.2919341,-73.8536807
Prato Trattoria,"1892 US-6, Carmel Hamlet, NY 10512",4.6,2,41.4146574,-73.6685419
Bistro 146,"146 Bedford Rd, Pleasantville, NY 10570",4.6,2,41.1404965,-73.7785641
Southern Table Kitchen & Bar,"39 Marble Ave, Pleasantville, NY 10570",4.5,2,41.1319107,-73.7912899
Basso56,"11 King St, Chappaqua, NY 10514",4.5,2,41.1595504,-73.77308959999999
La Cremaillere,"46 Bedford-Banksville Rd, Bedford, NY 10506",4.4,4,41.1466459,-73.64272799999999
Orfino's Restaurant,"1120 Pleasantville Rd, Briarcliff Manor, NY 10510",4.5,2,41.1494809,-73.83026009999999
Trattoria 632,"632 Anderson Hill Rd, Purchase, NY 10577",4.5,2,41.03798219999999,-73.7018051
Freddy's Restaurant,"472 Bedford Rd, Pleasantville, NY 10570",4.7,N/A,41.1330333,-73.79302179999999
Tramonto Restaurant,"27 Saw Mill River Rd #9A, Hawthorne, NY 10532",4.5,2,41.0939092,-73.8165848
Sapori,"324 Central Ave, White Plains, NY 10606",4.7,N/A,41.0341295,-73.7846952
Mardino's Restaurant,"473 Lexington Ave, Mt Kisco, NY 10549",4.7,2,41.1919378,-73.7324909
The Bedford Diner,"710 Bedford Rd, Bedford Hills, NY 10507",4.3,2,41.2256093,-73.71334879999999
Kisco River Eatery,"222 Main St, Mt Kisco, NY 10549",4.4,2,41.20279,-73.7266218
Le Jardin Du Roi,"95 King St, Chappaqua, NY 10514",4.4,3,41.1594143,-73.7718141
Ristorante Lucia,"454 Old Post Rd, Bedford, NY 10506",4.6,2,41.1966898,-73.65432640000002
The Don Juan Mexican Restaurant,"2 Broadway, Pleasantville, NY 10570",4.3,2,41.1400033,-73.7787409
The Turk,"20 S Moger Ave, Mt Kisco, NY 10549",4.4,2,41.2079839,-73.7287681
Spaccarelli's,"238 Saw Mill River Rd #7, Millwood, NY 10546",4.5,3,41.1885272,-73.80247179999999
Lakeside Grille,"156 E Lake Blvd, Mahopac, NY 10541",4,N/A,41.375506,-73.7291501
Southeast Grille House,"2459 US-6, Brewster, NY 10509",4.6,2,41.4007667,-73.6356152
Mimi's Kitchen,"1946 US-6, Carmel Hamlet, NY 10512",4.9,N/A,41.4123637,-73.6648881
Limni - Mediterranean Kitchen,"47 NY-311, Carmel Hamlet, NY 10512",4.5,2,41.4677932,-73.6620368
Cutillo's Restaurant,"1196 Farmers Mills Rd, Carmel Hamlet, NY 10512",4.6,2,41.4977234,-73.6841097
La Famiglia Bar & Grill,"110 NY-311, Carmel Hamlet, NY 10512",4.5,2,41.4696442,-73.6577156
Northwood Inn,"14 Frances Kiernan Pl, Carmel Hamlet, NY 10512",4.4,2,41.3986129,-73.7131457
The Hangout Cafe,"184 NY-52 suite 152, Carmel Hamlet, NY 10512",4.3,2,41.4343885,-73.6799333
My Cousin's,"954 US-6, Mahopac, NY 10541",4.8,N/A,41.3906216,-73.7247052
George's Place,"36 Gleneida Ave, Carmel Hamlet, NY 10512",4.7,1,41.425785,-73.678528
